TRAPPIST-1,23:06:29.36,-05:02:29.2
Kepler-265 b,+19:22:02.50,+41:14:41.35
Kepler-265 c,+19:22:02.50,+41:14:41.35
Kepler-265 d,+19:22:02.50,+41:14:41.35
Kepler-265 e,+19:22:02.50,+41:14:41.35
Kepler-201 b,+19:34:30.25,+41:16:22.15
Kepler-201 c,+19:34:30.25,+41:16:22.15
Kepler-99 b,19:49:24.961,+41:18:00.1
Kepler-363 b,+18:52:46.09,+41:18:19.40
Kepler-363 c,+18:52:46.09,+41:18:19.40
Kepler-363 d,+18:52:46.09,+41:18:19.40
Kepler-202 b,+18:51:53.60,+41:19:19.24
Kepler-202 c,+18:51:53.60,+41:19:19.24
Kepler-336 b,+19:20:57.05,+41:19:52.97
Kepler-336 c,+19:20:57.05,+41:19:52.97
Kepler-336 d,+19:20:57.05,+41:19:52.97
Kepler-354 b,+19:03:00.36,+41:20:08.30
Kepler-354 c,+19:03:00.36,+41:20:08.30
Kepler-354 d,+19:03:00.36,+41:20:08.30
Kepler-132 b,+18:52:56.60,+41:20:34.94
Kepler-132 c,+18:52:56.60,+41:20:34.94
Kepler-132 d,+18:52:56.60,+41:20:34.94
Kepler-74 b,19:32:22.210,+41:21:19.8
Kepler-203 b,+19:48:21.60,+41:23:16.91
Kepler-203 c,+19:48:21.60,+41:23:16.91
Kepler-203 d,+19:48:21.60,+41:23:16.91
upsilon And b,+01:36:47.98,+41:24:22.99
upsilon And c,+01:36:47.98,+41:24:22.99
upsilon And d,+01:36:47.98,+41:24:22.99
Kepler-118 b,+19:56:51.14,+41:25:29.39
Kepler-118 c,+19:56:51.14,+41:25:29.39
Kepler-440 b,+19:01:23.99,+41:27:07.90
Kepler-170 b,+18:58:05.09,+41:37:46.56
Kepler-170 c,+18:58:05.09,+41:37:46.56
Kepler-444 b,+19:19:00.47,+41:38:10.10
Kepler-444 c,+19:19:00.47,+41:38:10.10
Kepler-444 d,+19:19:00.47,+41:38:10.10
Kepler-444 e,+19:19:00.47,+41:38:10.10
Kepler-444 f,+19:19:00.47,+41:38:10.10
HD 136418 b,+15:19:06.20,+41:44:01.13
Kepler-171 b,+19:47:05.24,+41:45:19.94
Kepler-171 c,+19:47:05.24,+41:45:19.94
Kepler-171 d,+19:47:05.24,+41:45:19.94
Kepler-353 b,+19:47:25.58,+41:45:29.45
Kepler-353 c,+19:47:25.58,+41:45:29.45
